field_id,project_id,name,field_type,created_at
c2457e30-688,c3757191-437,Due Quarter,text,2026-01-07 10:04:12
9217e250-847,8c8a1064-ce4,Due Quarter,text,2026-01-07 10:04:12
ddc35b53-73c,7d30e561-51d,Due Quarter,text,2026-01-07 10:04:12
b9fef761-88b,07d4f744-53a,Due Quarter,text,2026-01-07 10:04:12
3a1b09f3-f95,50cf4924-031,Due Quarter,text,2026-01-07 10:04:12
59b4fe91-492,4289cff7-f73,Due Quarter,text,2026-01-07 10:04:12
fe14838f-eda,59de818f-744,Due Quarter,text,2026-01-07 10:04:12
c6ced06f-b88,861052c3-5b3,Due Quarter,text,2026-01-07 10:04:12
550d2a91-844,f4ad3f44-1f6,Due Quarter,text,2026-01-07 10:04:12
014b6299-e89,1d58a9ec-61f,Due Quarter,text,2026-01-07 10:04:12
9f136e7e-da9,034ab54e-2a2,Due Quarter,text,2026-01-07 10:04:12
2edec1b2-b31,5fc36ad6-3dd,Due Quarter,text,2026-01-07 10:04:12
a8776b94-193,369e537c-2ab,Due Quarter,text,2026-01-07 10:04:12
7a2d7e8e-829,6fa6c1eb-e60,Due Quarter,text,2026-01-07 10:04:12
9eab956b-f33,f4028986-5b1,Due Quarter,text,2026-01-07 10:04:12
5fbcb78f-47b,cc8b1c0c-2e5,Due Quarter,text,2026-01-07 10:04:12
52b69cb1-24b,1feb146f-92a,Due Quarter,text,2026-01-07 10:04:12
f9917731-95a,5084c3a6-3b9,Due Quarter,text,2026-01-07 10:04:12
b921cb40-2bf,0fd5a25f-02d,Due Quarter,text,2026-01-07 10:04:12
a9ab9449-81e,08438f1f-948,Due Quarter,text,2026-01-07 10:04:12
9772064c-4fd,3f582c2d-995,Due Quarter,text,2026-01-07 10:04:12
7b6766ce-9bf,5cd4bb19-9c2,Due Quarter,text,2026-01-07 10:04:12
7a0e39cc-a6e,b14fd3a0-7ee,Due Quarter,text,2026-01-07 10:04:12
faf19af8-86e,499e191f-e91,Due Quarter,text,2026-01-07 10:04:12
d3c03818-f32,f3518536-64f,Due Quarter,text,2026-01-07 10:04:12
9dbacdd8-c34,51eeb741-372,Due Quarter,text,2026-01-07 10:04:12
9c18eeb1-de2,a567052e-343,Due Quarter,text,2026-01-07 10:04:12
eef3b302-46b,6fa364d9-0cf,Due Quarter,text,2026-01-07 10:04:12
694d9d34-b4e,e2333e37-f9a,Due Quarter,text,2026-01-07 10:04:12
6d31de46-dd7,fc3ea303-735,Due Quarter,text,2026-01-07 10:04:12
0572cec3-4a1,fe2b0386-77c,Due Quarter,text,2026-01-07 10:04:12
cfd386bf-a67,70276c95-17d,Due Quarter,text,2026-01-07 10:04:12
e354711b-d67,afa85f21-cf8,Due Quarter,text,2026-01-07 10:04:12
6488614e-ecc,18efa0b6-c09,Due Quarter,text,2026-01-07 10:04:12
25d00764-8bf,c3905ab3-7d3,Due Quarter,text,2026-01-07 10:04:12
1d3c749e-fa4,dfe6c42c-cbd,Due Quarter,text,2026-01-07 10:04:12
48bcdd95-ae5,0e96bc09-b4c,Due Quarter,text,2026-01-07 10:04:12
e2e6225d-d89,c16ad0f3-6c4,Due Quarter,text,2026-01-07 10:04:12
7f509eca-79b,5274dff1-3ff,Due Quarter,text,2026-01-07 10:04:12
ec836c09-be7,77b201bf-5a4,Due Quarter,text,2026-01-07 10:04:12
920a3bc1-c37,9a71593d-e97,Due Quarter,text,2026-01-07 10:04:12
5bd9ff20-9e2,f04f5d2a-b62,Due Quarter,text,2026-01-07 10:04:12
a454427f-760,3e8f9bd6-de4,Due Quarter,text,2026-01-07 10:04:12
119336a9-1ab,951312d9-800,Due Quarter,text,2026-01-07 10:04:12
16ee3348-da1,4506ea56-130,Due Quarter,text,2026-01-07 10:04:12
c8cdda6d-548,c35c7a0c-e33,Due Quarter,text,2026-01-07 10:04:12
2215679c-34b,86ffd9d0-4b8,Due Quarter,text,2026-01-07 10:04:12
e961ea61-efc,99ed4e80-93c,Due Quarter,text,2026-01-07 10:04:12
60ee48d4-5b6,3675cb73-1cf,Due Quarter,text,2026-01-07 10:04:12
e10e8428-1fe,fe5471f1-16c,Due Quarter,text,2026-01-07 10:04:12
d0b05564-67c,0bf673ee-dab,Due Quarter,text,2026-01-07 10:04:12
b4c6b8a3-db0,6b9d3c1c-466,Due Quarter,text,2026-01-07 10:04:12
a26a2148-11f,1ead726d-fac,Due Quarter,text,2026-01-07 10:04:12
1bd8e91e-553,75e848f9-812,Due Quarter,text,2026-01-07 10:04:12
3d49c7c6-801,632ca0b3-3a9,Due Quarter,text,2026-01-07 10:04:12
ac5b7520-a96,e6b35cf3-bb5,Due Quarter,text,2026-01-07 10:04:12
9849a2e6-7d9,c7ddaade-894,Due Quarter,text,2026-01-07 10:04:12
3fd166d4-1a6,e98e0e43-1ac,Due Quarter,text,2026-01-07 10:04:12
c8352cdc-29e,2e3692a6-731,Due Quarter,text,2026-01-07 10:04:12
938b0e06-dca,a5a80cba-74a,Due Quarter,text,2026-01-07 10:04:12
dd1a2530-1b9,2025601b-ab7,Due Quarter,text,2026-01-07 10:04:12
1e37b41a-7cf,aa7c52ef-3cf,Due Quarter,text,2026-01-07 10:04:12
164340a8-5d9,042c9817-e75,Priority,enum,2026-01-07 10:04:12
6341c041-9f6,526e1171-9d3,Priority,enum,2026-01-07 10:04:12
931a7022-0d3,35228514-719,Priority,enum,2026-01-07 10:04:12
3ccf51ed-c5a,6d9a0e74-4d9,Priority,enum,2026-01-07 10:04:12
85781ec1-616,277c4276-ab8,Priority,enum,2026-01-07 10:04:12
70e8ab3c-fbd,e1fdf0cd-2d9,Priority,enum,2026-01-07 10:04:12
e56c5ac6-f23,4bbba162-7cf,Priority,enum,2026-01-07 10:04:12
b5e24d62-370,c6cc53cd-e70,Priority,enum,2026-01-07 10:04:12
66277e5f-92d,509402a5-698,Priority,enum,2026-01-07 10:04:12
d14e1a55-f1c,74ad7152-ad7,Priority,enum,2026-01-07 10:04:12
9a88664d-b8c,6c3a0110-b0d,Priority,enum,2026-01-07 10:04:12
72b0c3d9-ccb,4352f4d0-5a4,Priority,enum,2026-01-07 10:04:12
3264fbd2-872,8a54d3eb-d7a,Priority,enum,2026-01-07 10:04:12
c0497716-47a,317926d8-39b,Priority,enum,2026-01-07 10:04:12
f6a88181-931,cee6c615-426,Priority,enum,2026-01-07 10:04:12
9d35bf46-bb8,9a6f048b-6f8,Priority,enum,2026-01-07 10:04:12
5b728324-b55,f77ea067-9ec,Priority,enum,2026-01-07 10:04:12
11c78aa1-654,7ab4ed22-928,Priority,enum,2026-01-07 10:04:12
9c0e5718-f59,3e78ca53-b6f,Priority,enum,2026-01-07 10:04:12
485bab48-02f,9e69118b-ef6,Priority,enum,2026-01-07 10:04:12
6300b0d1-866,de207228-1ea,Priority,enum,2026-01-07 10:04:12
ed06e8fb-4a1,179aec31-803,Priority,enum,2026-01-07 10:04:12
291dea69-a41,9af34e08-a8b,Priority,enum,2026-01-07 10:04:12
72a2e9c3-85d,6d285b5b-7cf,Priority,enum,2026-01-07 10:04:12
ef6ab297-941,7eeab7cb-49c,Priority,enum,2026-01-07 10:04:12
bb95698a-491,175c2d97-dd9,Priority,enum,2026-01-07 10:04:12
e7f16426-631,f2a14fdf-22b,Priority,enum,2026-01-07 10:04:12
c5790035-658,5896508b-38e,Priority,enum,2026-01-07 10:04:12
27374d28-0cb,78e372c1-1c6,Priority,enum,2026-01-07 10:04:12
05cda7aa-26d,d879ea5d-363,Priority,enum,2026-01-07 10:04:12
7d15fdff-d2b,ecd1c40c-efc,Priority,enum,2026-01-07 10:04:12
c892d435-11f,8f489120-6ca,Priority,enum,2026-01-07 10:04:12
05b746fd-ea2,677773cc-736,Priority,enum,2026-01-07 10:04:12
1c82aa4d-257,6d80c0f6-a3c,Priority,enum,2026-01-07 10:04:12
6bef59d7-872,013aa801-000,Priority,enum,2026-01-07 10:04:12
27c18bbc-0a0,23545c21-f80,Priority,enum,2026-01-07 10:04:12
44c66c47-b77,d500fa9f-0cf,Priority,enum,2026-01-07 10:04:12
151ed8a4-339,6563b769-2fa,Priority,enum,2026-01-07 10:04:12
6b4468b6-445,c3757191-437,Priority,enum,2026-01-07 10:04:12
42b1d51c-f79,8c8a1064-ce4,Priority,enum,2026-01-07 10:04:12
571e3917-9ba,7d30e561-51d,Priority,enum,2026-01-07 10:04:12
5609e870-b7c,07d4f744-53a,Priority,enum,2026-01-07 10:04:12
1bfa7e98-c0f,50cf4924-031,Priority,enum,2026-01-07 10:04:12
9d529d95-df9,4289cff7-f73,Priority,enum,2026-01-07 10:04:12
ba4dfa34-76e,59de818f-744,Priority,enum,2026-01-07 10:04:12
71b67097-22f,861052c3-5b3,Priority,enum,2026-01-07 10:04:12
85742fc4-63e,f4ad3f44-1f6,Priority,enum,2026-01-07 10:04:12
6dad14cb-281,1d58a9ec-61f,Priority,enum,2026-01-07 10:04:12
643700ed-dbf,034ab54e-2a2,Priority,enum,2026-01-07 10:04:12
c30f0db2-d7a,5fc36ad6-3dd,Priority,enum,2026-01-07 10:04:12
b420614e-42d,369e537c-2ab,Priority,enum,2026-01-07 10:04:12
a2b2c37e-82f,6fa6c1eb-e60,Priority,enum,2026-01-07 10:04:12
a5098c31-306,f4028986-5b1,Priority,enum,2026-01-07 10:04:12
506f3549-20e,cc8b1c0c-2e5,Priority,enum,2026-01-07 10:04:12
45966f8b-332,1feb146f-92a,Priority,enum,2026-01-07 10:04:12
f8f0b89b-6e0,5084c3a6-3b9,Priority,enum,2026-01-07 10:04:12
bc851419-396,0fd5a25f-02d,Priority,enum,2026-01-07 10:04:12
d05820a9-e29,08438f1f-948,Priority,enum,2026-01-07 10:04:12
b64dcc41-be8,3f582c2d-995,Priority,enum,2026-01-07 10:04:12
5c86a366-cd8,5cd4bb19-9c2,Priority,enum,2026-01-07 10:04:12
b5ffbc90-5f5,b14fd3a0-7ee,Priority,enum,2026-01-07 10:04:12
a24a902e-05f,499e191f-e91,Priority,enum,2026-01-07 10:04:12
9cb6fdf9-b2c,f3518536-64f,Priority,enum,2026-01-07 10:04:12
b9f02c39-6b8,51eeb741-372,Priority,enum,2026-01-07 10:04:12
c04990da-b66,a567052e-343,Priority,enum,2026-01-07 10:04:12
1eeca952-02a,6fa364d9-0cf,Priority,enum,2026-01-07 10:04:12
810cb611-513,e2333e37-f9a,Priority,enum,2026-01-07 10:04:12
d953ad29-7d6,fc3ea303-735,Priority,enum,2026-01-07 10:04:12
3d69d204-2ae,fe2b0386-77c,Priority,enum,2026-01-07 10:04:12
95b9272a-ad9,70276c95-17d,Priority,enum,2026-01-07 10:04:12
8321f9c4-7e3,afa85f21-cf8,Priority,enum,2026-01-07 10:04:12
cc88651b-60c,18efa0b6-c09,Priority,enum,2026-01-07 10:04:12
08c8ac58-d78,c3905ab3-7d3,Priority,enum,2026-01-07 10:04:12
679c09b8-863,dfe6c42c-cbd,Priority,enum,2026-01-07 10:04:12
7aa0bf8d-63b,0e96bc09-b4c,Priority,enum,2026-01-07 10:04:12
8c2dc4d1-53b,c16ad0f3-6c4,Priority,enum,2026-01-07 10:04:12
950f3bb9-e09,5274dff1-3ff,Priority,enum,2026-01-07 10:04:12
08d835c3-1c0,77b201bf-5a4,Priority,enum,2026-01-07 10:04:12
4dcc180c-f60,9a71593d-e97,Priority,enum,2026-01-07 10:04:12
f12e1f41-539,f04f5d2a-b62,Priority,enum,2026-01-07 10:04:12
b3d574eb-baa,3e8f9bd6-de4,Priority,enum,2026-01-07 10:04:12
f830b7a7-91d,951312d9-800,Priority,enum,2026-01-07 10:04:12
3200c6d9-7e1,4506ea56-130,Priority,enum,2026-01-07 10:04:12
81b71ada-2d8,c35c7a0c-e33,Priority,enum,2026-01-07 10:04:12
839e77bd-470,86ffd9d0-4b8,Priority,enum,2026-01-07 10:04:12
cb1caf8b-456,99ed4e80-93c,Priority,enum,2026-01-07 10:04:12
1852624e-6d4,3675cb73-1cf,Priority,enum,2026-01-07 10:04:12
3eb5c1c8-974,fe5471f1-16c,Priority,enum,2026-01-07 10:04:12
2a578fb8-710,0bf673ee-dab,Priority,enum,2026-01-07 10:04:12
8d2477f7-f23,6b9d3c1c-466,Priority,enum,2026-01-07 10:04:12
7be12d76-541,1ead726d-fac,Priority,enum,2026-01-07 10:04:12
592b15f9-4d6,75e848f9-812,Priority,enum,2026-01-07 10:04:12
8909aeee-4cf,632ca0b3-3a9,Priority,enum,2026-01-07 10:04:12
a367220a-db2,e6b35cf3-bb5,Priority,enum,2026-01-07 10:04:12
8ecd7d7c-219,c7ddaade-894,Priority,enum,2026-01-07 10:04:12
4dd5f7a0-426,e98e0e43-1ac,Priority,enum,2026-01-07 10:04:12
3c509d77-bab,2e3692a6-731,Priority,enum,2026-01-07 10:04:12
350da02f-fc5,a5a80cba-74a,Priority,enum,2026-01-07 10:04:12
b98d331a-2cd,2025601b-ab7,Priority,enum,2026-01-07 10:04:12
28dc32ae-9b3,aa7c52ef-3cf,Priority,enum,2026-01-07 10:04:12
eaa454e4-586,042c9817-e75,Sprint,text,2026-01-07 10:04:12
c66c6151-90b,526e1171-9d3,Sprint,text,2026-01-07 10:04:12
ca9419b3-941,35228514-719,Sprint,text,2026-01-07 10:04:12
4636f37c-cc9,6d9a0e74-4d9,Sprint,text,2026-01-07 10:04:12
35aad0d9-ec1,277c4276-ab8,Sprint,text,2026-01-07 10:04:12
759d5936-2cb,e1fdf0cd-2d9,Sprint,text,2026-01-07 10:04:12
27437ea1-89a,4bbba162-7cf,Sprint,text,2026-01-07 10:04:12
44797bac-20c,c6cc53cd-e70,Sprint,text,2026-01-07 10:04:12
a4caf487-92b,509402a5-698,Sprint,text,2026-01-07 10:04:12
6cbb4de4-262,74ad7152-ad7,Sprint,text,2026-01-07 10:04:12
d42ec87e-718,6c3a0110-b0d,Sprint,text,2026-01-07 10:04:12
ed4dd429-c40,4352f4d0-5a4,Sprint,text,2026-01-07 10:04:12
d84c39bf-cab,8a54d3eb-d7a,Sprint,text,2026-01-07 10:04:12
e7cbd7da-bfe,317926d8-39b,Sprint,text,2026-01-07 10:04:12
0ff26440-6db,cee6c615-426,Sprint,text,2026-01-07 10:04:12
464595ac-91b,9a6f048b-6f8,Sprint,text,2026-01-07 10:04:12
887a4595-828,f77ea067-9ec,Sprint,text,2026-01-07 10:04:12
91955d4f-cd3,7ab4ed22-928,Sprint,text,2026-01-07 10:04:12
c6885928-5d8,3e78ca53-b6f,Sprint,text,2026-01-07 10:04:12
33d4c4d8-c1a,9e69118b-ef6,Sprint,text,2026-01-07 10:04:12
1720359d-f90,de207228-1ea,Sprint,text,2026-01-07 10:04:12
5b736eff-d03,179aec31-803,Sprint,text,2026-01-07 10:04:12
e926365c-c2e,9af34e08-a8b,Sprint,text,2026-01-07 10:04:12
23703f02-e2e,6d285b5b-7cf,Sprint,text,2026-01-07 10:04:12
1165c3e1-d70,7eeab7cb-49c,Sprint,text,2026-01-07 10:04:12
f99830f3-a26,175c2d97-dd9,Sprint,text,2026-01-07 10:04:12
5d363b5c-df3,f2a14fdf-22b,Sprint,text,2026-01-07 10:04:12
7db59371-045,5896508b-38e,Sprint,text,2026-01-07 10:04:12
92a628b4-c64,78e372c1-1c6,Sprint,text,2026-01-07 10:04:12
6b5a02bc-809,d879ea5d-363,Sprint,text,2026-01-07 10:04:12
452c692f-efd,ecd1c40c-efc,Sprint,text,2026-01-07 10:04:12
fd903281-184,8f489120-6ca,Sprint,text,2026-01-07 10:04:12
521a2958-370,677773cc-736,Sprint,text,2026-01-07 10:04:12
3d1ab25a-45d,6d80c0f6-a3c,Sprint,text,2026-01-07 10:04:12
217d58e5-296,013aa801-000,Sprint,text,2026-01-07 10:04:12
da49c99e-24e,23545c21-f80,Sprint,text,2026-01-07 10:04:12
04d27747-dc3,d500fa9f-0cf,Sprint,text,2026-01-07 10:04:12
6ff7f908-851,6563b769-2fa,Sprint,text,2026-01-07 10:04:12
50c2f0a3-707,c3757191-437,Sprint,text,2026-01-07 10:04:12
8314e154-1d0,8c8a1064-ce4,Sprint,text,2026-01-07 10:04:12
bdd95a90-fc5,7d30e561-51d,Sprint,text,2026-01-07 10:04:12
26781ae0-a5a,07d4f744-53a,Sprint,text,2026-01-07 10:04:12
04b5812c-52c,50cf4924-031,Sprint,text,2026-01-07 10:04:12
712533fd-e4f,4289cff7-f73,Sprint,text,2026-01-07 10:04:12
4e32c2ef-678,59de818f-744,Sprint,text,2026-01-07 10:04:12
c29313b9-958,861052c3-5b3,Sprint,text,2026-01-07 10:04:12
778e8aaa-fa8,f4ad3f44-1f6,Sprint,text,2026-01-07 10:04:12
a12b1ab8-d6f,1d58a9ec-61f,Sprint,text,2026-01-07 10:04:12
a23105b5-ddb,034ab54e-2a2,Sprint,text,2026-01-07 10:04:12
bf881f11-72d,5fc36ad6-3dd,Sprint,text,2026-01-07 10:04:12
0fe28cd6-751,369e537c-2ab,Sprint,text,2026-01-07 10:04:12
afadb9e1-fbd,6fa6c1eb-e60,Sprint,text,2026-01-07 10:04:12
dfed456a-93a,f4028986-5b1,Sprint,text,2026-01-07 10:04:12
cf22de26-eb7,cc8b1c0c-2e5,Sprint,text,2026-01-07 10:04:12
f51ae02d-043,1feb146f-92a,Sprint,text,2026-01-07 10:04:12
43e8bb41-e1b,5084c3a6-3b9,Sprint,text,2026-01-07 10:04:12
7e1bf036-1a6,0fd5a25f-02d,Sprint,text,2026-01-07 10:04:12
782ccb72-39c,08438f1f-948,Sprint,text,2026-01-07 10:04:12
8fbfd3ad-c82,3f582c2d-995,Sprint,text,2026-01-07 10:04:12
3c858a0b-eed,5cd4bb19-9c2,Sprint,text,2026-01-07 10:04:12
1572fd85-09d,b14fd3a0-7ee,Sprint,text,2026-01-07 10:04:12
0918c510-6c4,499e191f-e91,Sprint,text,2026-01-07 10:04:12
370fe272-dd3,f3518536-64f,Sprint,text,2026-01-07 10:04:12
4471a042-e0d,51eeb741-372,Sprint,text,2026-01-07 10:04:12
b6023a9a-e1f,a567052e-343,Sprint,text,2026-01-07 10:04:12
321d91a8-6f5,6fa364d9-0cf,Sprint,text,2026-01-07 10:04:12
89d2627d-fc1,e2333e37-f9a,Sprint,text,2026-01-07 10:04:12
aeaf5315-c92,fc3ea303-735,Sprint,text,2026-01-07 10:04:12
6502e459-3b9,fe2b0386-77c,Sprint,text,2026-01-07 10:04:12
215be416-14f,70276c95-17d,Sprint,text,2026-01-07 10:04:12
4d835fa2-c4e,afa85f21-cf8,Sprint,text,2026-01-07 10:04:12
4e046e77-b56,18efa0b6-c09,Sprint,text,2026-01-07 10:04:12
84c92ab1-012,c3905ab3-7d3,Sprint,text,2026-01-07 10:04:12
f5f1533a-b5c,dfe6c42c-cbd,Sprint,text,2026-01-07 10:04:12
55c521d2-489,0e96bc09-b4c,Sprint,text,2026-01-07 10:04:12
4468d72a-14f,c16ad0f3-6c4,Sprint,text,2026-01-07 10:04:12
086caaa7-2f9,5274dff1-3ff,Sprint,text,2026-01-07 10:04:12
8b7ff17e-318,77b201bf-5a4,Sprint,text,2026-01-07 10:04:12
d4c2425b-548,9a71593d-e97,Sprint,text,2026-01-07 10:04:12
eec4a1ab-34d,f04f5d2a-b62,Sprint,text,2026-01-07 10:04:12
37d49f68-d1c,3e8f9bd6-de4,Sprint,text,2026-01-07 10:04:12
d91a7c00-614,951312d9-800,Sprint,text,2026-01-07 10:04:12
d890ad5a-664,4506ea56-130,Sprint,text,2026-01-07 10:04:12
0ccfc081-d60,c35c7a0c-e33,Sprint,text,2026-01-07 10:04:12
5776817b-510,86ffd9d0-4b8,Sprint,text,2026-01-07 10:04:12
bc984008-d50,99ed4e80-93c,Sprint,text,2026-01-07 10:04:12
cf6963c9-f70,3675cb73-1cf,Sprint,text,2026-01-07 10:04:12
0f5132d4-f1d,fe5471f1-16c,Sprint,text,2026-01-07 10:04:12
470a88ba-5fc,0bf673ee-dab,Sprint,text,2026-01-07 10:04:12
3119cec5-cb7,6b9d3c1c-466,Sprint,text,2026-01-07 10:04:12
9ab4d3a4-d4f,1ead726d-fac,Sprint,text,2026-01-07 10:04:12
b3a7c94a-e8a,75e848f9-812,Sprint,text,2026-01-07 10:04:12
f49fabea-622,632ca0b3-3a9,Sprint,text,2026-01-07 10:04:12
291b098e-de7,e6b35cf3-bb5,Sprint,text,2026-01-07 10:04:12
91f98a54-cc1,c7ddaade-894,Sprint,text,2026-01-07 10:04:12
245230db-dbb,e98e0e43-1ac,Sprint,text,2026-01-07 10:04:12
246a0345-dd3,2e3692a6-731,Sprint,text,2026-01-07 10:04:12
32d779b0-7e2,a5a80cba-74a,Sprint,text,2026-01-07 10:04:12
533146a3-88d,2025601b-ab7,Sprint,text,2026-01-07 10:04:12
11262d99-8f3,aa7c52ef-3cf,Sprint,text,2026-01-07 10:04:12
251c124a-714,042c9817-e75,Story Points,number,2026-01-07 10:04:12
fc89bda3-ae7,526e1171-9d3,Story Points,number,2026-01-07 10:04:12
ac030d5b-9e7,35228514-719,Story Points,number,2026-01-07 10:04:12
089fc96d-f60,6d9a0e74-4d9,Story Points,number,2026-01-07 10:04:12
2edc2eac-23d,277c4276-ab8,Story Points,number,2026-01-07 10:04:12
99399218-e55,e1fdf0cd-2d9,Story Points,number,2026-01-07 10:04:12
2b0c5bec-3ce,4bbba162-7cf,Story Points,number,2026-01-07 10:04:12
01e93869-d6b,c6cc53cd-e70,Story Points,number,2026-01-07 10:04:12
2ef2f17f-95b,509402a5-698,Story Points,number,2026-01-07 10:04:12
9c3420bc-e2e,74ad7152-ad7,Story Points,number,2026-01-07 10:04:12
df0c0581-463,6c3a0110-b0d,Story Points,number,2026-01-07 10:04:12
e94a8dba-d14,4352f4d0-5a4,Story Points,number,2026-01-07 10:04:12
a4c33b35-6bf,8a54d3eb-d7a,Story Points,number,2026-01-07 10:04:12
17181239-091,317926d8-39b,Story Points,number,2026-01-07 10:04:12
00968c6a-e34,cee6c615-426,Story Points,number,2026-01-07 10:04:12
48e60d13-712,9a6f048b-6f8,Story Points,number,2026-01-07 10:04:12
6be223f6-983,f77ea067-9ec,Story Points,number,2026-01-07 10:04:12
e8c98c9b-060,7ab4ed22-928,Story Points,number,2026-01-07 10:04:12
c56455f2-6ee,3e78ca53-b6f,Story Points,number,2026-01-07 10:04:12
dff4211b-7a7,9e69118b-ef6,Story Points,number,2026-01-07 10:04:12
5db81505-5fe,de207228-1ea,Story Points,number,2026-01-07 10:04:12
65c4da4d-133,179aec31-803,Story Points,number,2026-01-07 10:04:12
f72a2a23-6bb,9af34e08-a8b,Story Points,number,2026-01-07 10:04:12
57e75377-7f3,6d285b5b-7cf,Story Points,number,2026-01-07 10:04:12
d974cdbe-b1a,7eeab7cb-49c,Story Points,number,2026-01-07 10:04:12
9a932ead-18a,175c2d97-dd9,Story Points,number,2026-01-07 10:04:12
2726f598-2ae,f2a14fdf-22b,Story Points,number,2026-01-07 10:04:12
46f31251-65c,5896508b-38e,Story Points,number,2026-01-07 10:04:12
128cb48c-1ed,78e372c1-1c6,Story Points,number,2026-01-07 10:04:12
3140019d-a8f,d879ea5d-363,Story Points,number,2026-01-07 10:04:12
28518f52-fec,ecd1c40c-efc,Story Points,number,2026-01-07 10:04:12
ffdce3e7-541,8f489120-6ca,Story Points,number,2026-01-07 10:04:12
c1a38a5b-82c,677773cc-736,Story Points,number,2026-01-07 10:04:12
a8bb7489-3d5,6d80c0f6-a3c,Story Points,number,2026-01-07 10:04:12
994a855d-88c,013aa801-000,Story Points,number,2026-01-07 10:04:12
d3d63c14-714,23545c21-f80,Story Points,number,2026-01-07 10:04:12
8d17455f-cc1,d500fa9f-0cf,Story Points,number,2026-01-07 10:04:12
1c7c764e-b2e,6563b769-2fa,Story Points,number,2026-01-07 10:04:12
285b562c-184,c3757191-437,Story Points,number,2026-01-07 10:04:12
0884d280-b9a,8c8a1064-ce4,Story Points,number,2026-01-07 10:04:12
7dd51a20-5f2,7d30e561-51d,Story Points,number,2026-01-07 10:04:12
9c42a5e4-be7,07d4f744-53a,Story Points,number,2026-01-07 10:04:12
58ec9e3d-e84,50cf4924-031,Story Points,number,2026-01-07 10:04:12
50a37758-dbe,4289cff7-f73,Story Points,number,2026-01-07 10:04:12
4cac0b66-81a,59de818f-744,Story Points,number,2026-01-07 10:04:12
5070f0bc-6af,861052c3-5b3,Story Points,number,2026-01-07 10:04:12
91191105-413,f4ad3f44-1f6,Story Points,number,2026-01-07 10:04:12
c9dfc262-cc0,1d58a9ec-61f,Story Points,number,2026-01-07 10:04:12
85809726-473,034ab54e-2a2,Story Points,number,2026-01-07 10:04:12
